Transaction Date,Value Date,Description,Reference Number,Cheque Number,Debit,Credit,Balance,DR/CR
01/07/2026,01/07/2026,UPI PAYMENT TO DEMO TRADERS,DEMO-UTR-001,,1250.50,,48749.50,DR
02/07/2026,02/07/2026,NEFT RECEIPT FROM SAMPLE CUSTOMER,DEMO-UTR-002,,,5000.00,53749.50,CR
03/07/2026,03/07/2026,TRANSFER TO OWN DEMO BANK ACCOUNT,DEMO-UTR-003,,10000.00,,43749.50,DR
04/07/2026,04/07/2026,BANK SERVICE CHARGES,DEMO-REF-004,,118.00,,43631.50,DR
05/07/2026,05/07/2026,INTEREST CREDIT,DEMO-REF-005,,,42.75,43674.25,CR
06/07/2026,06/07/2026,CASH WITHDRAWAL DEMO ATM,DEMO-REF-006,,2000.00,,41674.25,DR
07/07/2026,07/07/2026,CASH DEPOSIT DEMO BRANCH,DEMO-REF-007,,,3000.00,44674.25,CR
08/07/2026,08/07/2026,CHEQUE PAYMENT SAMPLE SUPPLIER,,DEMO-CHQ-008,2500.00,,42174.25,DR
09/07/2026,09/07/2026,MULTILINE PAYMENT TO SAMPLE VENDOR,DEMO-REF-009,,750.00,,41424.25,DR
,,CONTINUED NARRATION WITH DEMO INVOICE 009,,,,,,
10/07/2026,10/07/2026,DUPLICATE DEMONSTRATION,DEMO-REF-010,,100.00,,41324.25,DR
10/07/2026,10/07/2026,DUPLICATE DEMONSTRATION,DEMO-REF-010,,100.00,,41324.25,DR
invalid-date,,INVALID DATE DEMONSTRATION,DEMO-REF-011,,50.00,,,DR
11/07/2026,11/07/2026,MISSING LEDGER DEMONSTRATION,DEMO-REF-012,,,250.00,41574.25,CR
